Date,Clicks,Impressions,CTR,Position
2025-11-22,0,9,0%,50.7
2025-11-23,0,10,0%,41.6
2025-11-24,0,13,0%,53
2025-11-25,1,8,12.5%,39.4
2025-11-26,0,13,0%,54.8
2025-11-27,0,13,0%,43.2
2025-11-28,1,12,8.33%,47.2
2025-11-29,1,8,12.5%,49.2
2025-11-30,0,8,0%,69.9
2025-12-01,0,16,0%,46.9
2025-12-02,0,8,0%,40.9
2025-12-03,0,13,0%,58.6
2025-12-04,0,9,0%,49
2025-12-05,0,13,0%,30.5
2025-12-06,0,10,0%,56.5
2025-12-07,1,12,8.33%,40.7
2025-12-08,0,12,0%,44.7
2025-12-09,0,11,0%,63.1
2025-12-10,2,9,22.22%,41
2025-12-11,0,12,0%,40.4
2025-12-12,0,16,0%,44.5
2025-12-13,1,29,3.45%,22.5
2025-12-14,1,19,5.26%,33.1
2025-12-15,0,19,0%,43.9
2025-12-16,0,16,0%,27.5
2025-12-17,0,15,0%,37.5
2025-12-18,1,21,4.76%,40.6
2025-12-19,0,8,0%,44.8
2025-12-20,0,26,0%,36
2025-12-21,3,18,16.67%,32.7
2025-12-22,0,26,0%,27.3
2025-12-23,0,12,0%,29.4
2025-12-24,0,20,0%,27.6
2025-12-25,0,16,0%,25.1
2025-12-26,0,17,0%,34.9
2025-12-27,1,15,6.67%,31.8
2025-12-28,0,29,0%,19.9
2025-12-29,0,31,0%,23
2025-12-30,0,29,0%,27.9
2025-12-31,0,16,0%,47.5
2026-01-01,1,22,4.55%,25.3
2026-01-02,0,18,0%,44.4
2026-01-03,1,23,4.35%,28.3
2026-01-04,0,25,0%,26.5
2026-01-05,4,34,11.76%,24.8
2026-01-06,1,21,4.76%,26.2
2026-01-07,1,29,3.45%,36.1
2026-01-08,1,21,4.76%,17.2
2026-01-09,3,20,15%,10.2
2026-01-10,0,18,0%,18.9
2026-01-11,2,20,10%,33.3
2026-01-12,0,22,0%,23.3
2026-01-13,0,24,0%,23.3
2026-01-14,0,21,0%,31.8
2026-01-15,0,10,0%,36.5
2026-01-16,0,31,0%,26.9
2026-01-17,0,18,0%,43.2
2026-01-18,0,29,0%,33.9
2026-01-19,0,32,0%,29.2
2026-01-20,0,34,0%,47.4
2026-01-21,0,28,0%,31.2
2026-01-22,0,23,0%,32.2
2026-01-23,1,21,4.76%,37.9
2026-01-24,1,21,4.76%,24.5
2026-01-25,0,26,0%,37.2
2026-01-26,0,46,0%,30.3
2026-01-27,1,34,2.94%,15.8
2026-01-28,1,38,2.63%,14.2
2026-01-29,0,20,0%,29.9
2026-01-30,0,18,0%,21.4
2026-01-31,0,32,0%,21.5
2026-02-01,0,22,0%,22
2026-02-02,0,44,0%,28.6
2026-02-03,0,45,0%,24.2
2026-02-04,2,34,5.88%,33.2
2026-02-05,1,25,4%,25.1
2026-02-06,1,19,5.26%,15.1
2026-02-07,1,18,5.56%,12.6
2026-02-08,0,46,0%,32.9
2026-02-09,1,32,3.12%,37.9
2026-02-10,1,25,4%,21.9
2026-02-11,5,25,20%,11.8
2026-02-12,2,38,5.26%,17
2026-02-13,1,26,3.85%,23.9
2026-02-14,1,16,6.25%,25.7
2026-02-15,0,26,0%,20.6
2026-02-16,0,42,0%,41.8
2026-02-17,2,40,5%,25.1
2026-02-18,1,85,1.18%,21.7
2026-02-19,0,34,0%,28
2026-02-20,0,20,0%,38.5
2026-02-21,0,30,0%,35.7
2026-02-22,0,30,0%,39.3
2026-02-23,2,42,4.76%,33.2
2026-02-24,1,26,3.85%,41.3
2026-02-25,1,23,4.35%,37.4
2026-02-26,0,28,0%,31.7
2026-02-27,1,24,4.17%,28.1
2026-02-28,0,24,0%,38.2
2026-03-01,0,36,0%,42.8
2026-03-02,0,52,0%,34
2026-03-03,1,52,1.92%,26.8
2026-03-04,1,95,1.05%,31.7
2026-03-05,0,97,0%,28.2
2026-03-06,0,133,0%,25.7
2026-03-07,1,99,1.01%,32.9
2026-03-08,0,92,0%,36.8
2026-03-09,0,117,0%,31.1
2026-03-10,0,68,0%,48.6
2026-03-11,4,90,4.44%,35.4
2026-03-12,0,90,0%,38.5
2026-03-13,1,88,1.14%,47.6
2026-03-14,1,48,2.08%,49.4
2026-03-15,0,44,0%,46.3
2026-03-16,0,80,0%,34.2
2026-03-17,1,87,1.15%,28.5
2026-03-18,2,123,1.63%,23.5
2026-03-19,0,57,0%,28.6
2026-03-20,0,66,0%,23.4
2026-03-21,0,45,0%,33.1
2026-03-22,0,54,0%,34.2
2026-03-23,0,76,0%,39.2
2026-03-24,0,51,0%,30.3
2026-03-25,0,60,0%,32.5
2026-03-26,2,55,3.64%,25.6
2026-03-27,1,56,1.79%,17.8
2026-03-28,0,49,0%,20.2
2026-03-29,1,68,1.47%,21.5
2026-03-30,0,94,0%,21.1
2026-03-31,1,70,1.43%,25.2
2026-04-01,1,67,1.49%,38.5
2026-04-02,2,71,2.82%,45.5
2026-04-03,1,52,1.92%,28.4
