query,clicks,impressions,ctr,position
dermal fillers near me,0,3,0,24.666666666666668
dermal fillers newport news,0,11,0,36.45454545454545
dermal fillers newport news va,0,2,0,31
dermal fillers tysons va,0,2,0,93.5
dermal fillers virginia,0,7,0,89.14285714285714
dermal fillers williamsburg,0,36,0,13.38888888888889
dermal fillers williamsburg va,0,33,0,14.848484848484848
dermal fillers williamsville,0,20,0,84.25
dermal near me,0,1,0,11
dysport near me,0,1,0,10
ear candling near me,0,1,0,7
ear piercer,0,1,0,7
ear piercing,0,1,0,7
ear piercing lynchburg va,0,1,0,38
ear piercing nearby,0,1,0,10
ear piercing williamsburg,0,8,0,12.5
ear piercings,0,7,0,6.142857142857143
ear ring piercing near me,0,1,0,6
ears repierced,0,1,0,11
emsculpt neo williamsburg,0,3,0,59.333333333333336
epidural injections williamsburg,0,1,0,99
esr piercings,0,1,0,8
ever body williamsburg,0,3,0,56
ever/body williamsburg,0,1,0,57
everesse near me,0,1,0,7
everybody williamsburg,0,1,0,26
excessive armpit sweating treatments washington dc,0,1,0,94
excessive sweating treatment arlington,0,1,0,77
excessive sweating treatment leesburg va,0,1,0,57
excessive sweating treatment richmond va,0,1,0,27
excessive sweating treatments washington dc,0,1,0,78
facelift williamsburg va,0,1,0,20
facial balancing near me,0,1,0,14
facial dermal filler williamsburg va,0,4,0,23.25
facial fillers tysons va,0,1,0,97
facial williamsburg va,0,20,0,45.1
facials near me,0,2,0,8.5
female hair transplant williamsburg,0,27,0,20.11111111111111
fillers virginia,0,1,0,97
for skin,0,1,0,4
forehead rejuvenation williamsburg va,0,5,0,31.2
frown lines reduction williamsburg va,0,7,0,28.142857142857142
hairline transplant williamsburg,0,31,0,16.838709677419352
hifu near me,0,1,0,7
hydrafacial williamsburg va,0,32,0,38.09375
hyperhidrosis reston va,0,4,0,77.25
hyperhidrosis salem,0,8,0,58
hyperhidrosis treatment arlington va,0,27,0,67.92592592592592
hyperhidrosis treatment ashburn,0,21,0,77.52380952380952
hyperhidrosis treatment dc,0,1,0,86
hyperhidrosis treatment leesburg va,0,1,0,62
hyperhidrosis treatment richmond va,0,1,0,37
infant ear piercing in richmond va,0,1,0,52
inflammation therapy williamsburg va,0,19,0,49.421052631578945
iv therapy williamsburg va,0,1,0,60
juvederm williamsburg va,0,1,0,29
"keratoconus treatment near me williamsburg,va",0,3,0,52.666666666666664
kids ear piercing,0,1,0,3
kids ear piercing near me,0,1,0,10
kybella near me,0,1,0,6
kybella williamsburg,0,2,0,65
laser hair removal williamsburg va,0,36,0,38.52777777777778
lip flip near me,0,2,0,9.5
little girl ear piercing near me,0,1,0,6
male hair transplant williamsburg,0,26,0,20.192307692307693
masseter botox williamsburg,0,2,0,40.5
mastopexy williamsburg va,0,2,0,13.5
med spa events,0,3,0,48
med spa in ashbrook commons,0,1,0,89
med spa in ballston,0,1,0,77
med spa in brambleton,0,1,0,63
med spa in burke,0,10,0,64.6
med spa in chantilly,0,7,0,75.28571428571429
med spa in clarendon,0,1,0,79
med spa in northern virginia,0,6,0,88.83333333333333
med spa in south riding,0,1,0,90
med spa in willowsford,0,11,0,42
med spa near me,0,12,0,8.5
med spa newport news,0,37,0,22.83783783783784
med spa northern va,0,2,0,71
med spa northern virginia,0,6,0,70.83333333333333
med spa party washington dc,0,1,0,67
med spa stafford va,0,1,0,57
med spa virginia,0,2,0,68
med spa williamsburg brooklyn,0,2,0,19.5
med spa williamsville,0,8,0,80.375
med spas in northern virginia,0,1,0,93
med spas near me,0,4,0,8.5
medi spa near me,0,1,0,7
medial spa,0,1,0,4
medical aesthetics of virginia,0,1,0,64
medical ear piercing,0,17,0,65.17647058823529
medical office cleaning company williamsburg va,0,3,0,69
medical sp,0,1,0,1
medical spa,0,27,0,81.4074074074074
medical spa burke va,0,7,0,54.57142857142857
medical spa consultation,0,1,0,8
medical spa events,0,2,0,54
medical spa louisburg,0,1,0,99
medical spa near me,0,1,0,12
medical spa northern virginia,0,6,0,69.66666666666667
medical spa purcellville va,0,3,0,77
medical spa springfield va,0,3,0,74.33333333333333
medical spa williamsburg,0,2815,0,2.980106571936057
medical spa williamsville,0,16,0,81.9375
medspa,0,4,0,9.25
medspa events,0,34,0,59.1764705882353
medspa medics,0,1,0,31
medspa near me,0,5,0,11
medspa newport news,0,1,0,23
medspa nokesville,0,4,0,69.25
medspa virginia,0,2,0,69.5
medspa williamsburg,0,64,0,16.09375
medspa williamsburg va,0,34,0,10.294117647058824
medspa williamsville,0,21,0,74.28571428571429
micro pigmentation of the scalp williamsburg va,0,1,0,79
microneedling near me,0,1,0,13
microneedling williamsburg,0,5,0,75.2
microneedling williamsburg va,0,2,0,8
mommy makeover williamsburg,0,2,0,76.5
n4 med spa williamsburg,0,4,0,27.75
n4 williamsburg,0,11,0,28.09090909090909
nail med spa,0,1,0,4
neuromodulators williamsburg va,0,1,0,83
newport news plastic surgery,0,1,0,49
non surgical face lift near me,0,1,0,4
non-surgical services williamsburg va,0,2,0,19
np med spa,0,1,0,8
obagi sale,0,1,0,9
otsego c02liftv,0,2,0,12.5
"pain therapist in james city county, va",0,4,0,69.25
"pain therapy in james city county, va",0,1,0,45
pediatric piercing near me,0,1,0,5
piercers near me,0,1,0,6
piercing,0,2,0,10.5
piercing near me,0,7,0,7.285714285714286
piercing salons near me,0,1,0,7
piercing shop near me,0,1,0,12
piercing shops around me,0,1,0,5
piercing shops near me,0,1,0,7
piercing spa,0,1,0,11
piercing williamsburg,0,7,0,20.857142857142858
piercing williamsburg va,0,32,0,9.53125
piercings,0,1,0,14
piercings williamsburg,0,5,0,27.6
places to get ears pierced,0,1,0,6
plasma pen treatments near me,0,10,0,12.1
plastic surgery in williamsburg va,0,2,0,95.5
plastic surgery williamsburg va,0,1,0,69
plump williamsburg,0,5,0,15
"prp breast lift chesapeake,va",0,2,0,22
"prp breast lift harrisonburg,va",0,2,0,20.5
prp breast lift near me,0,3,0,38
prp charlottesville,0,5,0,67.2
prp facial arlington va,0,1,0,67
prp facial cedar rapids,0,1,0,55
prp facial culpeper,0,2,0,54
prp facial in ashbrook commons,0,9,0,68.44444444444444
prp facial in ballston,0,26,0,61.65384615384615
prp facial in brambleton,0,21,0,52.80952380952381
prp facial in broadlands,0,5,0,89
prp facial in burke,0,1,0,37
prp facial in chantilly,0,19,0,67.26315789473684
prp facial in loudoun county,0,13,0,81.38461538461539
prp facial in one loudoun,0,17,0,78.47058823529412
prp facial in south riding,0,5,0,76
prp facial in virginia,0,28,0,61.107142857142854
prp facial in willowsford,0,3,0,40.666666666666664
prp facial loudoun,0,3,0,64
prp facial warrenton,0,3,0,75.66666666666667
prp hair restoration fredericksburg,0,7,0,74.85714285714286
prp hair restoration suffolk,0,1,0,68
prp hair treatments in dunn loring,0,8,0,85.625
prp hair treatments in reston,0,1,0,99
prp hair treatments in virginia,0,10,0,71.1
prp hair treatments in willowsford,0,26,0,78.61538461538461
prp injection under eye near me,0,1,0,9
prx derm perfexion near me,0,2,0,7
radiesse® williamsburg va,0,1,0,49
reduction mammaplasty williamsburg va,0,2,0,32
regenerative clinic williamsburg va,0,1,0,15
restylane® injectable gel williamsburg va,0,4,0,23.75
rhinoplasty williamsburg,0,24,0,57.125
rhinoplasty williamsburg va,0,13,0,76.15384615384616
rhytidectomy williamsburg va,0,3,0,27
rn medspa,0,1,0,12
scar treatment newport news,0,2,0,88.5
scar treatment williamsburg va,0,7,0,77.57142857142857
sculptra alternatives,0,1,0,81
sculptra near me,0,1,0,17
sculptra williamsburg va,0,31,0,18.64516129032258
sculptra® williamsburg va,0,2,0,16.5
skin care williamsburg,0,2,0,56
spa dermatology,0,1,0,10
spa in newport news va,0,27,0,65.55555555555556
spa near me,0,3,0,26.333333333333332
spa services williamsburg va,0,2,0,37.5
spa yorktown va,0,2,0,39
spas in newport news va,0,4,0,64.75
studs williamsburg,0,1,0,26
sweaty armpit treatment washington dc,0,1,0,76
tallman medical spa,0,2,0,68
therapeutic skin treatments williamsburg va,0,1,0,28
tinnitus williamsburg va,0,2,0,58.5
toddler ear piercing near me,0,1,0,8
virginia med spa,0,3,0,65.66666666666667
virginia medical spa,0,1,0,64
virginia medspa,0,2,0,67.5
where to get ears pierced near me,0,1,0,6
williamsburg aesthetics,0,1,0,8
williamsburg beauty spa,0,1,0,41
williamsburg piercing,0,4,0,22.5
williamsburg tmj,0,6,0,41.333333333333336
williamson county botox procedure,0,1,0,13
xeomin ashburn,0,2,0,77.5
xeomin charlottesville,0,2,0,68.5
"xeomin injectables in grimes, ia",0,18,0,71.55555555555556
xeomin near fairfax va,0,7,0,83
xeomin northern virginia,0,15,0,85
xeomin richmond,0,7,0,81.42857142857143
xeomin tysons corner,0,7,0,67.71428571428571
yes,0,1,0,4
